@relation pacman-data-weka.filters.unsupervised.attribute.Remove-R29-55-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42

@attribute PacmanPositionX numeric
@attribute PacmanPositionY numeric
@attribute LegalPacManNorth {0,1}
@attribute LegalPacManSouth {0,1}
@attribute LegalPacManWest {0,1}
@attribute LegalPacManEast {0,1}
@attribute Ghost1PositionX numeric
@attribute Ghost1PositionY numeric
@attribute Ghost2PositionX numeric
@attribute Ghost2PositionY numeric
@attribute Ghost3PositionX numeric
@attribute Ghost3PositionY numeric
@attribute Ghost4PositionX numeric
@attribute Ghost4PositionY numeric
@attribute Ghost1Distance numeric
@attribute Ghost2Distance numeric
@attribute Ghost3Distance numeric
@attribute Ghost4Distance numeric
@attribute Score numeric
@attribute DistanceFood numeric
@attribute RemainingFood numeric
@attribute class {North,South,West,East}

@data
18,7,0,1,1,1,-1,-1,6,14,-1,-1,10,12,-1,19,-1,14,370,-1,0,South
27,3,1,1,1,1,8,6,11,3,14,6,-1,-1,22,16,16,-1,174,-1,0,West
1,8,1,1,0,0,1,3,-1,-1,5,8,5,4,5,-1,4,7,188,-1,0,South
1,5,1,1,1,1,1,3,2,3,5,9,6,6,2,3,8,6,-16,-1,0,South
6,5,0,0,1,1,-1,-1,-1,-1,10,5,16,5,-1,-1,4,11,1579,4,14,East
6,1,0,0,1,1,13,3,4,2,9,3,-1,-1,9,3,5,-1,3859,1,64,South
1,17,0,1,1,0,1,5,1,3,4,9,5,6,12,14,11,14,-2,-1,0,South
6,6,1,1,1,1,-1,-1,-1,-1,5,9,-1,-1,-1,-1,4,-1,573,-1,0,South
2,1,0,0,1,1,-1,-1,-1,-1,12,5,17,1,-1,-1,14,16,789,2,18,West
14,5,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1672,1,13,East
6,5,0,1,1,1,-1,-1,13,7,9,6,15,9,-1,9,4,12,1385,1,83,East
8,6,1,1,1,1,4,9,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,512,-1,0,South
18,6,0,1,1,1,5,9,11,3,17,6,-1,-1,16,10,1,-1,175,-1,0,West
9,8,1,1,0,0,-1,-1,6,12,17,10,12,12,-1,7,10,8,184,-1,0,East
1,6,1,1,0,1,1,5,7,6,6,10,5,8,1,6,9,6,-14,-1,0,South
28,4,1,1,1,1,4,9,1,4,15,6,28,8,29,27,15,5,-25,-1,0,North
23,6,1,1,1,1,5,9,11,3,17,6,-1,-1,21,15,6,-1,180,-1,0,West
16,8,1,0,1,1,3,6,18,8,26,9,-1,-1,15,2,11,-1,152,-1,0,East
9,7,1,1,1,0,-1,-1,12,9,-1,-1,12,7,-1,5,-1,2,2270,1,76,North
3,3,1,0,1,1,4,5,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,529,-1,0,West
6,1,1,0,1,0,3,5,8,5,10,5,16,9,7,6,8,19,294,1,92,West
9,5,0,0,1,1,-1,-1,-1,-1,10,5,-1,-1,-1,-1,1,-1,1377,5,14,East
16,6,1,0,1,1,4,7,15,8,23,8,-1,-1,13,3,9,-1,158,-1,0,West
18,8,0,1,1,1,-1,-1,7,14,-1,-1,11,12,-1,17,-1,12,371,-1,0,South
10,14,1,1,0,1,-1,-1,5,14,-1,-1,6,14,-1,5,-1,3,355,-1,0,West
26,5,1,1,1,1,3,9,4,4,17,6,27,4,27,23,10,3,-20,-1,0,East
3,3,1,0,1,1,-1,-1,-1,-1,6,6,-1,-1,-1,-1,6,-1,581,-1,0,East
18,6,1,0,1,1,4,8,14,8,19,8,-1,-1,16,6,3,-1,162,-1,0,West
3,12,1,0,1,1,-1,-1,5,12,-1,-1,13,12,-1,2,-1,10,366,-1,0,North
1,14,1,1,1,0,1,3,1,6,5,10,5,4,11,8,8,14,-6,-1,0,South
9,5,0,1,1,0,-1,-1,-1,-1,-1,-1,17,5,-1,-1,-1,7,2179,5,14,East
8,12,1,1,0,1,-1,-1,-1,-1,-1,-1,13,12,-1,-1,-1,5,551,-1,0,East
18,8,1,0,1,1,2,5,-1,-1,27,10,-1,-1,19,-1,11,-1,350,-1,0,East
7,10,1,1,0,0,5,8,5,12,18,7,13,12,4,4,14,8,-8,-1,0,West
3,3,1,1,1,1,-1,-1,-1,-1,5,9,6,6,-1,-1,8,6,381,-1,0,East
17,10,1,1,1,1,-1,-1,8,14,18,8,12,12,-1,13,3,7,174,-1,0,North
12,4,1,0,1,0,-1,-1,5,2,12,2,17,4,-1,9,2,5,1774,2,14,South
17,10,1,0,1,1,6,10,8,3,17,5,25,4,11,16,5,14,-6,-1,0,East
12,2,1,0,1,0,-1,-1,5,3,-1,-1,17,2,-1,8,-1,6,1970,2,14,North
10,6,1,1,0,1,4,2,-1,-1,-1,-1,13,5,10,-1,-1,5,2370,2,77,North
9,10,1,1,1,0,3,6,6,12,13,6,13,12,10,5,8,5,-5,-1,0,West
19,6,0,1,1,1,5,9,11,3,17,6,-1,-1,17,11,2,-1,176,-1,0,West
28,12,1,1,1,1,4,8,2,3,11,8,-1,-1,28,35,21,-1,163,-1,0,South
13,5,1,0,1,1,8,3,8,7,8,3,6,1,7,7,7,10,1578,1,81,West
18,9,0,1,1,1,-1,-1,6,14,18,8,11,12,-1,17,1,10,172,-1,0,South
1,15,1,1,1,0,1,3,1,5,4,10,5,5,12,10,8,15,-5,-1,0,South
8,1,0,0,1,1,3,3,10,5,10,5,17,9,7,6,6,17,96,1,94,West
1,5,1,1,1,0,1,3,2,3,5,9,6,6,2,3,8,6,-15,-1,0,South
18,13,0,1,1,1,-1,-1,8,13,-1,-1,7,14,-1,10,-1,11,364,-1,0,North
23,10,1,1,1,1,5,9,11,3,17,6,25,7,19,19,10,5,-12,-1,0,East
1,3,1,1,0,0,-1,-1,1,5,10,5,-1,-1,-1,2,11,-1,987,1,16,North
17,8,1,0,1,1,3,9,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,523,-1,0,West
7,7,0,0,1,1,-1,-1,10,7,10,5,15,7,-1,3,5,9,1681,1,80,East
8,6,1,0,1,1,5,6,5,12,-1,-1,13,12,3,9,-1,11,177,-1,0,North
16,5,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1870,1,11,East
5,9,0,1,1,1,6,8,7,12,18,6,13,12,2,5,16,11,-11,-1,0,South
6,6,1,1,1,0,5,9,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,553,-1,0,West
3,9,1,1,1,1,-1,-1,5,12,-1,-1,13,12,-1,5,-1,13,369,-1,0,North
8,3,0,1,0,1,10,3,4,3,-1,-1,-1,-1,2,4,-1,-1,5051,1,60,East
1,12,1,1,1,0,2,4,1,7,6,10,5,3,9,5,7,12,-8,-1,0,South
10,5,1,1,0,1,-1,-1,9,12,10,6,10,12,-1,8,1,8,174,-1,0,North
10,5,1,0,1,1,-1,-1,9,5,-1,-1,13,7,-1,1,-1,4,2176,2,77,South
18,12,0,1,1,1,-1,-1,8,13,-1,-1,7,14,-1,11,-1,13,365,-1,0,North
5,14,1,1,0,1,-1,-1,5,12,-1,-1,13,12,-1,2,-1,10,362,-1,0,East
23,8,1,1,1,1,6,8,10,4,14,6,23,3,17,17,11,6,-14,-1,0,South
20,5,0,1,1,1,3,8,10,6,14,7,19,6,20,11,8,2,-22,-1,0,North
12,8,1,0,1,1,3,8,9,5,-1,-1,-1,-1,9,6,-1,-1,367,-1,0,West
6,9,1,0,0,1,11,3,-1,-1,6,4,6,3,11,-1,5,7,2867,1,70,North
19,10,1,1,1,0,5,9,11,3,17,6,25,7,15,15,6,9,-8,-1,0,East
16,14,1,1,0,1,-1,-1,8,14,-1,-1,8,14,-1,8,-1,8,361,-1,0,West
25,8,1,1,1,1,2,5,-1,-1,28,9,-1,-1,26,-1,4,-1,343,-1,0,East
11,7,1,0,1,1,5,9,11,3,-1,-1,-1,-1,8,4,-1,-1,365,-1,0,South
6,3,1,1,1,1,11,3,4,3,9,3,-1,-1,5,2,3,-1,4653,1,62,North
3,7,1,1,1,1,-1,-1,5,12,-1,-1,13,12,-1,7,-1,15,371,-1,0,North
15,8,1,1,1,1,-1,-1,11,14,-1,-1,8,13,-1,10,-1,11,363,-1,0,East
1,3,1,1,1,0,1,2,-1,-1,12,5,17,1,1,-1,13,17,1386,1,16,North
3,10,1,0,1,0,-1,-1,6,8,-1,-1,-1,-1,-1,5,-1,-1,575,-1,0,North
5,6,1,1,1,1,-1,-1,-1,-1,6,6,-1,-1,-1,-1,1,-1,576,-1,0,North
6,7,1,1,1,1,-1,-1,14,7,8,7,15,9,-1,8,2,10,1583,1,81,North
5,9,0,1,1,1,2,8,6,12,14,6,12,12,4,4,12,9,-10,-1,0,South
1,15,1,1,0,1,1,4,4,4,6,9,6,7,11,14,11,14,-5,-1,0,South
4,5,1,1,1,1,4,3,7,12,12,5,10,12,2,10,8,14,-16,-1,0,South
14,5,0,1,1,1,-1,-1,5,4,-1,-1,17,5,-1,10,-1,3,2065,1,13,East
5,5,0,1,1,1,-1,-1,-1,-1,10,5,-1,-1,-1,-1,5,-1,1381,3,14,East
2,3,1,1,0,1,-1,-1,-1,-1,5,9,6,6,-1,-1,9,7,381,-1,0,East
7,6,1,1,1,1,5,6,5,12,-1,-1,13,12,2,8,-1,12,176,-1,0,West
1,3,1,1,0,1,-1,-1,2,3,5,9,6,6,-1,1,10,8,182,-1,0,South
22,4,1,0,1,1,5,8,10,5,13,6,20,5,21,13,11,4,-19,-1,0,West
8,6,1,1,1,1,4,10,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,557,-1,0,North
15,8,1,1,1,1,-1,-1,8,12,18,9,13,12,-1,11,4,6,178,-1,0,East
15,8,1,0,1,1,3,9,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,521,-1,0,West
10,4,0,1,1,1,5,6,5,12,-1,-1,13,12,7,13,-1,11,183,-1,0,West
